team_name,opponent_name,points_for,points_against,location,datetime,
2021-11-09-20-utah,Abilene Christian,Utah,56,70,Away,11/9/21 20:00
2021-11-12-20-texas-am,Abilene Christian,Texas A&M,80,81,Away,11/12/21 20:00
2021-11-16-20-texas-arlington,Abilene Christian,Texas-Arlington,80,71,Away,11/16/21 20:00
2021-12-04-16-abilene-christian,Abilene Christian,Incarnate Word,98,65,Home,12/4/21 16:00
2021-12-11-19-abilene-christian,Abilene Christian,Drexel,73,56,Home,12/11/21 19:00
2021-12-15-20-abilene-christian,Abilene Christian,Cal State Bakersfield,69,59,Home,12/15/21 20:30
2021-12-22-20-abilene-christian,Abilene Christian,Longwood,74,58,Home,12/22/21 20:00
2021-12-30-20-utah-valley,Abilene Christian,Utah Valley,80,76,Away,12/30/21 20:00
2022-01-01-21-dixie-state,Abilene Christian,Dixie State,64,50,Away,1/1/22 21:00
2022-01-06-20-abilene-christian,Abilene Christian,Stephen F. Austin,58,64,Home,1/6/22 20:00
2022-01-08-19-abilene-christian,Abilene Christian,Sam Houston State,63,65,Home,1/8/22 19:00
2022-01-13-21-grand-canyon,Abilene Christian,Grand Canyon,68,95,Away,1/13/22 21:00
2022-01-15-18-new-mexico-state,Abilene Christian,New Mexico State,63,77,Away,1/15/22 18:00
2021-11-11-14-south-dakota,Air Force,South Dakota,53,59,Neutral,11/11/21 14:30
2021-11-13-13-tulsa,Air Force,Tulsa,59,58,Away,11/13/21 13:00
2021-11-17-21-air-force,Air Force,Texas Southern,61,57,Home,11/17/21 21:00
2021-11-20-14-air-force,Air Force,Holy Cross,72,53,Neutral,11/20/21 14:30
2021-11-21-14-bethune-cookman,Air Force,Bethune-Cookman,73,65,Neutral,11/21/21 14:30
2021-11-24-16-air-force,Air Force,Denver,66,65,Home,11/24/21 16:00
2021-11-27-16-air-force,Air Force,Idaho State,59,48,Home,11/27/21 16:00
2021-12-04-16-air-force,Air Force,Army,76,58,Home,12/4/21 16:00
2021-12-08-21-montana,Air Force,Montana,48,66,Away,12/8/21 21:00
2021-12-19-14-arkansas-state,Air Force,Arkansas State,46,68,Away,12/19/21 14:00
2021-12-21-20-tarleton-state,Air Force,Tarleton State,45,67,Away,12/21/21 20:00
2021-12-29-15-air-force,Air Force,Utah State,49,47,Home,12/29/21 15:00
2022-01-04-21-colorado-state,Air Force,Colorado State,59,67,Away,1/4/22 21:00
2022-01-15-17-air-force,Air Force,Nevada,68,75,Home,1/15/22 17:00
2021-11-09-18-ohio-state,Akron,Ohio State,66,67,Away,11/9/21 18:00
2021-11-22-17-fordham,Akron,Fordham,43,63,Neutral,11/22/21 17:00
2021-11-23-13-appalachian-state,Akron,Appalachian State,45,57,Neutral,11/23/21 13:30
2021-11-24-11-akron,Akron,Evansville,69,60,Neutral,11/24/21 11:00
2021-12-01-19-akron,Akron,Marshall,88,86,Home,12/1/21 19:00
